name,age,height
Richard Coulthard,nan,nan
Max Senior,nan,nan
John Brown,27.5208761123,nan
Ernie Mccabe,nan,nan
Ross Case,16.2162902122,nan
Gondo Widjojo,nan,nan
Allan Stone,22.264202600999997,nan
Robert Layton,nan,nan
Warren Jacques,29.8617385352,nan
Bert Kearney,nan,nan
Max Pettman,nan,nan
Takesji Tsujimoto,nan,nan
Mike Belkin,22.5571526352,nan
M Marchment,nan,nan
Barry Phillips Moore,30.5297741273,173.0
Tony Dawson,nan,nan
William Coghlan,nan,nan
Peter Oatey,nan,nan
Geoff Pollard,34.0013689254,nan
Christian Janssens,nan,nan
Jun Kamiwazumi,20.3011635866,nan
Brian Connor,nan,nan
Bill Lloyd,18.702258726900002,nan
H Nielson,nan,nan
Neale Fraser,34.2943189596,nan
R Harvey,nan,nan
Merv Guse,nan,nan
J May,nan,nan
Manuel Orantes,18.9486652977,178.0
L Weatherhog,nan,nan
Ray Ruffels,21.826146475,nan
R Sellick,nan,nan
David Smith,nan,180.0
John James,16.8706365503,183.0
Robert Wilson,32.1587953457,nan
Gary Teagle,nan,nan
Sutarjo Sugiarto,nan,nan
R Campbell,nan,nan
Phil Dent,17.927446954100002,183.0
Henry Ladyman,nan,nan
Colin Stubs,26.8911704312,nan
Bob Giltinan,18.7843942505,nan
John Fraser,nan,nan
Neal Higgins,nan,nan
Graham Stilwell,22.176591375799998,173.0
Gavin Hogben,nan,nan
Dick Crealy,23.3347022587,nan
O Worley,nan,nan
Ian Fletcher,19.1321013005,nan
Syd Ball,17.984941820699998,188.0
Terry Addison,22.0205338809,180.0
Peter Mockler,nan,nan
Toshiro Sakai,20.1560574949,nan
Peter Curtis,22.3901437372,nan
Ray Keldie,22.0041067762,nan
John Blizzard,nan,nan
Berry Geraghty,nan,nan
Anthony Hammond,nan,nan
Rod Brent,nan,nan
Gaylard Dunn,nan,nan
Bill Bowrey,24.068446269699997,nan
Juan Gisbert,25.7905544148,nan
Rod Laver,30.0999315537,173.0
John Norgauer,nan,nan
Robert Lutz,21.0458590007,180.0
Stanley Ellis,nan,nan
Cliff Drysdale,27.3045859001,188.0
Horst Ritter,nan,nan
Jim Osborne,23.6167008898,185.0
Robert Kreiss,15.3757700205,nan
Clark Graebner,24.8624229979,188.0
Barry Mackay,33.0403832991,190.0
Mal Anderson,33.5359342916,nan
Roy Barth,21.4620123203,175.0
Tony Roche,23.3292265572,178.0
Gene Stuart Malin,19.9534565366,nan
D Richard Russell,23.017111567399997,nan
Tom Okker,24.5612594114,178.0
Stan Smith,21.7522245038,193.0
Marty Riessen,26.7789185489,185.0
Jerry De Witts,nan,nan
Fred Stolle,29.9356605065,190.0
Rafael Osuna,29.9986310746,nan
Pancho Segura,47.2361396304,nan
John Allgood,nan,nan
Dennis Ralston,26.135523614,188.0
Alejandro Olmedo,32.476386037,nan
Tom Edlefsen,26.757015742600004,188.0
Andres Gimeno,31.1156741958,185.0
Ron Holmberg,30.6310746064,185.0
Raymond Moore,22.058863791900002,183.0
Dick R Bohrnstedt,18.3819301848,nan
Tom Gorman,21.7385352498,180.0
Larry Nagler,28.205338809,nan
Earl Butch Buchholz,27.994524298400002,188.0
Ingo Buding,26.6803559206,nan
Donald Dell,30.2450376454,185.0
Thomas Chivington,nan,nan
Richard Pancho Gonzales,40.3504449008,188.0
Armistead Neely,21.492128679,nan
Roger Taylor,26.9185489391,nan
Mike Machette,17.6317590691,nan
Charlie Pasarell,24.5886379192,nan
Ken Stuart,nan,nan
Jim Mcmanus,27.994524298400002,175.0
Myron Franks,31.726214921300002,178.0
Ken Rosewall,33.867214236799995,175.0
Joseph Rush,nan,nan
George Taylor,18.3655030801,nan
Roy Emerson,31.8631074606,183.0
Tom Leonard,20.167008898,175.0
Stephen Avoyer,20.3805612594,nan
John Newcombe,24.3121149897,183.0
Jim Sheperd,nan,nan
Steve Tidball,nan,nan
Donald Lutz,19.5893223819,nan
Nikola Pilic,29.0513347023,nan
Ed Grubb,22.2997946612,nan
Pierre Barthes,27.0034223135,nan
John Yeomans,24.2683093771,nan
Arthur Ashe,25.18275154,185.0
Richard Leach,28.5256673511,nan
Tom Mozur,nan,nan
Joaquin Loyo Mayo,22.8911704312,nan
William Harris,21.478439425100003,nan
Steve Faulk,21.1006160164,nan
Jaime Fillol,22.0944558522,180.0
Dick Dell,20.772073922,nan
Brian Cheney,nan,nan
Premjit Lall,27.712525667399998,nan
Ramanathan Krishnan,31.2388774812,nan
Alexander Marcial,nan,nan
Jose Higueras,15.2689938398,178.0
Fabrizio Matteoli,nan,nan
Gustavo Guerrero,nan,180.0
Fernando Gentil,nan,nan
Jose Mandarino,27.2005475702,173.0
U Unknown,nan,nan
Alvaro Pena,nan,nan
Nicola Pietrangeli,34.7378507871,nan
Michael Hickey,nan,nan
Massimo Di Domenico,nan,nan
Antonio Munoz,17.2703627652,nan
Vincenzo Franchitti,nan,nan
Thomaz Koch,23.074606433899998,nan
Rafael Ruiz,nan,nan
Luis Bruguera,nan,nan
Pancho Guzman,22.0396988364,nan
Harald Elschenbroich,26.9678302533,nan
Manlio Bartoni,nan,nan
Francois Jauffret,26.3244353183,180.0
Roberto Lombardi,nan,nan
Eugenio Castigliano,nan,nan
Jose Moreno,nan,nan
Ken Fletcher,27.9780971937,nan
Piero Toci,nan,nan
Jairo Velasco,21.081451060899997,nan
Bob Carmichael,27.926078028699997,183.0
Roberto Saya,nan,nan
Eddie Cruz,nan,nan
Jaidip Mukherjea,nan,nan
Pancho Castillo,nan,nan
Paolo Bertolucci,16.845995893199998,175.0
Jose Luis Arillla,nan,nan
Patricio Rodriguez CHI,29.4647501711,188.0
Adriano Panatta,17.9137577002,183.0
Ezio Di Matteo,nan,nan
Carlos Fernandez,nan,nan
Martin Mulligan,27.635865845300003,nan
Rauty Krog,nan,nan
John Barrett,37.015742642,185.0
Keith Carpenter,26.7186858316,188.0
Gerald Battrick,20.9062286105,178.0
John Ward,34.6776180698,nan
Paul Hutchins,23.0472279261,nan
Clay Iles,25.3744010951,nan
Mark Cox,24.7994524298,nan
Mel Baleson,nan,nan
Jim Moore,nan,nan
David Lloyd,20.3011635866,nan
Tony Pickard,33.607118412,nan
Keith Wooldridge,nan,nan
Edward Beards,nan,nan
Luis Ayala,35.5920602327,nan
John Paish,28.0821355236,nan
Stanley Matthews,22.4202600958,nan
Bob Howe,42.7186858316,183.0
John Williams,nan,nan
Owen Davidson,24.550308008200002,185.0
John Clifton,22.1711156742,nan
Graydon Garner,nan,nan
John Bartlett,20.098562628299998,188.0
Geoff Bluett,26.9240246407,nan
Allen Quay,nan,nan
E Victor Seixas,44.99931553729999,185.0
Charles Mckinley,27.6468172485,nan
William Tym,nan,nan
Zeljko Franulovic,21.212867898699997,nan
Torben Ulrich,35.9014373717,nan
Cliff Montgomery,nan,nan
Robert Mckinley,18.0670773443,nan
Ron Goldman,nan,nan
Chris Bovett,22.6776180698,nan
Sherwood Stewart,22.2313483915,188.0
Eduardo Zuleta,nan,nan
Frank Tutvin,nan,nan
Danny Obryant,nan,nan
Paul Cranis,nan,nan
Paul Gerken,18.4585900068,185.0
Patricio Cornejo,24.2299794661,180.0
Gene Scott,30.6694045175,185.0
Butch Seewagen,22.212183436,188.0
Tico Carrero,19.9835728953,nan
Billy Knight,32.7967145791,nan
Karl Coombes,20.7008898015,180.0
Jeff Robbins,nan,nan
John Sharpe,29.2840520192,nan
Stanley Pasarell,20.5475701574,185.0
Chauncey Steele Iii,nan,nan
Humphrey Hose,21.3223819302,nan
Peter Burwash,23.548254620100003,175.0
Marcello Lara,20.900752909,nan
Paul Sullivan,nan,nan
Dick Stockton,17.5277207392,188.0
Robert Perry,35.452429842600004,188.0
Antonio Palafox,nan,nan
Erik Van Dillen,17.5195071869,183.0
Jimmy Parker,25.4839151266,nan
Ian Crookenden,nan,nan
Lew Gerrard,nan,nan
Frank Parker,52.577686516099995,nan
Haroon Rahim,18.7953456537,nan
Sammy Giammalva,34.0780287474,180.0
Jeff Borowiak,18.9267624914,193.0
Ned Weld,nan,nan
Peter Fishbach,21.0020533881,180.0
Lenny Schloss,nan,nan
Dan Bleckinger,21.2594113621,nan
Zan Guerry,19.4661190965,nan
Anthony Billington,58.7186858316,nan
Alan Frost,nan,nan
Franklin Robbins,18.135523614,nan
Keith Arejo,nan,nan
Robert Stock,nan,nan
Jun Kuki,22.5927446954,nan
Rudy Hernando,29.144421629,nan
William Collins,nan,nan
Charles Owens,18.0041067762,nan
William Brown,23.545516769299997,nan
Mike Estep,19.0362765229,173.0
Bob Hewitt,28.553045859,190.0
Keith Reynolds,nan,nan
Bailey Brown,25.130732375100003,nan
Dick Knight,20.2135523614,nan
Bill Colson,18.1957563313,nan
James Pressly,20.9418206708,nan
Lito Alvarez,20.6570841889,nan
Brian Stephenson,nan,nan
Pierce Kelly,21.0513347023,nan
Jasjit Singh,20.4900752909,nan
Modesto Tito Vazquez,19.5811088296,173.0
Brian Marcus,20.9226557153,nan
Jack Waltz,23.488021902800003,nan
Rupert Dorey,nan,nan
Cliff Richey,21.5852156057,175.0
John De Zeeuw,19.8603696099,nan
Mario Obando,nan,nan
Bob Goeltz,19.3429158111,nan
Anthony Bull,21.3278576318,nan
Michael Marcin,nan,nan
Steve Stockton,22.3353867214,nan
Roberto Marcher,nan,nan
Ian Hewitt,nan,nan
Mac Clafin,17.7631759069,nan
Butch Palmer,17.9082819986,nan
Jack Darrah,nan,nan
Herb Fitzgibbon,26.3299110198,nan
Jan Kodes,22.699520876100003,175.0
Eduardo Mandarino,nan,nan
Mathias Werren,23.934291581100002,nan
Szabolcz Baranyi,24.205338809,nan
Jean Baptiste Chanfreau,21.2429842574,nan
Sergei Likhachev,28.071184120500003,nan
Peter Pokorny,nan,nan
Milan Holecek,24.4791238877,190.0
Bronislaw Lewandowski,nan,nan
Peter Marmureanu,26.819986310700003,nan
Claude De Gronckel,nan,nan
Ernesto Aguirre,nan,nan
Gardnar Mulloy,54.395619438699995,nan
Jean Claude Barclay,25.2922655715,nan
Kenneth Andersson,nan,nan
Alex Metreveli,23.449691991799998,nan
Bernard Montrenaud,nan,nan
Ove Nils Bengtson,23.0280629706,196.0
Peter Szoke,20.6872005476,nan
William Alvarez,33.3333333333,178.0
Michele Leclercq,nan,nan
Eduardo Gorostagia,nan,nan
Andras Szikszai,nan,nan
Teimuraz Kakoulia,nan,nan
Giuseppe Merlo,40.5119780972,nan
Stefan Koudelka,nan,nan
Jean Courcol,nan,nan
Norm Perry,29.9329226557,nan
Thomas Lejus,26.6310746064,nan
Hans Nerell,nan,nan
Lance Lumsden,nan,nan
Han Jurgen Pohmann,20.8980150582,nan
Daniel Contet,24.449007529099998,nan
Georges Goven,19.9698836413,173.0
Ference Komaromi,nan,nan
Ivan Molina,21.8316221766,nan
Detler Herdy,26.5051334702,nan
Wieslaw Gasiorek,32.2546201232,nan
Rauno Suominen,nan,nan
Victor Egorov,nan,nan
Jean Pierre Olivier,nan,nan
Patrick Hombergen,21.601642710500002,nan
Dieter Schultheiss,nan,nan
Patrice Beust,23.613963039,170.0
Jean Loup Rouyer,nan,nan
Eric Drossart,26.146475017100002,nan
Geza Varga,nan,nan
Thedy Stalder,29.078713210100002,nan
John Alexander,17.1115674196,190.0
Alex Kurucz,nan,nan
Isao Watanabe,26.721423682399998,nan
Lothar Pawlik,nan,nan
Jan Kukal,25.916495551,nan
Lothar Lanz,nan,nan
Onny Parun,21.3305954825,188.0
Frew Mcmillan,26.234086242300002,183.0
Brian Fairlie,20.167008898,nan
Koji Watanabe,nan,nan
Uwe Gottschalk,nan,nan
Bernd Kube,nan,nan
Jaime Subirats,nan,nan
Ismail El Shafei,20.7446954141,nan
Jurgen Fassbender,20.2108145106,nan
Istvan Gulyas,36.8323066393,nan
Robert Maud,22.0041067762,180.0
Wilhelm Bungert,29.3689253936,188.0
Hans Jaochim Plotz,24.462696783000002,nan
Tadeusz Nowicki,nan,nan
Sergio Palmieri,22.436687200500003,nan
Alan Fox,28.8651608487,173.0
Alfredo Acuna,21.453798768,nan
Gianni Capozza,nan,nan
Ernst Blanke,23.3292265572,nan
Giorgio Bologna,nan,nan
Raul Peralta,27.8850102669,nan
Tomas Gonzalez,nan,nan
Gaetano Di Maso,nan,nan
Nicola Spear,24.2026009582,nan
John Mcdonald,37.251197809699995,nan
Allan Skelton,nan,nan
Giordano Maioli,nan,nan
Nicholas Kalogeropoulos,23.2114989733,nan
Franco Bartoni,19.586584531099998,nan
Guiliano Fanfani,nan,nan
Ilie Nastase,21.7987679671,183.0
Jaime Pinto Bravo,28.574948665300003,nan
Roberto Valerio,nan,nan
Marco Gilardelli,nan,nan
Vittorio Crotta,nan,nan
Sever Dron,nan,nan
Sergio Tacchini,nan,nan
Gary Kesl,nan,nan
Michele Pirro,nan,nan
Ion Tiriac,28.9938398357,nan
Vladimir Korotkov,20.0355920602,nan
Francesco Giordano,nan,nan
Ciccio Gorla,nan,nan
Boro Jovanovic,28.542094455900003,nan
Richard Hawkes,nan,nan
B Moreau,nan,nan
Ken Weatherley,20.2108145106,nan
Alain Bouteleux,nan,nan
Thierry Bernasconi,nan,nan
Patrice Dominguez,18.075290896600002,173.0
Jacques Thamin,15.715263518099999,nan
Patrick Proisy,18.4147843943,180.0
Christian Duxin,nan,nan
Pierre Joly,nan,nan
Jean Louis Thiebaut,nan,nan
Francois Matheu,nan,nan
Henri Pellizza,nan,nan
Gerald Pilet,nan,nan
Eric Derasse,nan,nan
John De Mendoza,18.466803559200002,nan
Jean Paul Meyer,nan,nan
Pierre Dufour,nan,nan
Denis Grozdanovitch,nan,nan
Andrzej Licis,nan,nan
Pierre Darmon,34.069815195100006,nan
Frantisek Pala,23.868583162199997,nan
Hans Kary,19.4880219028,nan
Tom Karp,21.853524982899998,nan
Jan Eric Lundquist,31.351129363400002,nan
Reyno Summers,nan,nan
John Gardner,nan,nan
Marian Laudin,nan,nan
Bryan Burrell,nan,nan
Jorgen Ulrich,32.9171800137,nan
Dimitri Sturdza,29.6947296372,nan
Jean Pierre Loizeau,nan,nan
Jan Leschly,27.40862423,nan
Manuel Santana,29.749486653,nan
Luis Rojas,nan,nan
Wanaro Ngodrella,18.718685831600002,nan
Robert Sherman,48.4873374401,nan
Alex Geuer,nan,nan
Henry Hank Irvine,24.8514715948,nan
Jost Remmert,nan,nan
Petr Strobl,nan,nan
Desmond Mckenzey,21.5277207392,nan
Matthias Mauritz,nan,nan
Karl Fichtel,nan,nan
Rainer Janson,nan,nan
Attila Korpas,nan,nan
Christian Pieper,nan,nan
Gordon Forbes,34.338124572199995,nan
Roger Becker,34.379192334,nan
Derek Schroder,nan,nan
Terry Ryan,26.160164271,nan
Michael Sangster,27.783709787800003,nan
Robert Haillet,nan,nan
Lew Hoad,33.5852156057,nan
