id,tourney_name
0,Australian Chps.
1,Los Angeles
2,Cincinnati
3,Barcelona
4,Bournemouth
5,US Open
6,U.S. National Chps.
7,Buenos Aires
8,Monte Carlo
9,Hamburg
10,Rome
11,Paris Indoor
12,Kitzbuhel
13,Gstaad
14,Philadelphia
15,Dusseldorf
16,Wimbledon
17,Hobart
18,Roland Garros
19,Davis Cup
20,Montreal / Toronto
21,Stockholm Open
22,Australian Open
23,Melbourne
24,Auckland
25,Caracas
26,Indianapolis
27,Bastad
28,Boston
29,Bristol
30,Sydney
31,Hilversum
32,Queen's Club
33,Barranquilla
34,South Orange
35,Washington
36,Casablanca
37,Phoenix
38,St. Louis
39,Berkeley
40,Masters
41,New York
42,Tehran
43,Paris
44,Chicago
45,Tanglewood
46,Newport
47,Dallas
48,Sydney Outdoor
49,Cologne
50,Fort Worth
51,Nice
52,Richmond
53,Columbus
54,London
55,Vancouver
56,Quebec
57,Merion
58,Brussels
59,Toronto
60,Sacramento
61,Hampton
62,Miami
63,Charlotte
64,Wembley
65,Salisbury
66,Houston
67,Bologna
68,Macon
69,Catania
70,Palermo
71,Denver
72,Essen
73,Montreal
74,Alamo
75,Rotterdam
76,Baltimore
77,Madrid
78,Cleveland
79,Brisbane
80,Las Vegas
81,Johannesburg
82,Kansas City
83,Des Moines
84,Sydney N.S.W.
85,London Indoor
86,Bretton Woods
87,Stockholm
88,Omaha
89,Albany
90,Gothenberg
91,Jacksonville
92,Seattle
93,Eastbourne
94,Adelaide
95,Milan
96,Lacosta
97,Osaka
98,New Delhi
99,Manila
100,Aptos
101,Djkarta
102,Florence
103,Munich
104,Copenhagen
105,Prague
106,Berlin
107,Salt Lake City
108,Calgary
109,Christchurch
110,Paramus
111,San Francisco
112,Birmingham
113,Jackson
114,Valencia
115,Sydney Indoor
116,Tokyo
117,Hong Kong
118,Atlanta
119,Roanoke
120,Nottingham
121,Tuscon
122,Surbiton
123,Cedar Grove
124,Bombay
125,Oslo
126,Palm Desert
127,New Orleans
128,Richmond-WCT
129,St. Petersburg
130,Orlando
131,Jakarta
132,Beckenham
133,Tempe
134,Sao Paulo
135,Little Rock
136,Hempstead
137,Manchester
138,Dublin
139,Vienna
140,Maui
141,North Conway
142,Bermuda
143,San Antonio
144,Istanbul
145,La Costa
146,Boca Raton
147,Perth
148,Dayton Indoor
149,Washington Indoor
150,Memphis
151,Cairo
152,Melbourne Indoor
153,Calcutta
154,Stockholm 
155,Toronto Indoor
156,Aviles
157,Shreveport
158,Fairfield
159,Bahamas
160,Basel
161,Tokyo Indoor
162,Johannesburg 
163,Tokyo Outdoor
164,Monterrey
165,Palm Springs
166,Bangalore
167,Pepsi Grand Slam
168,Mexico City
169,WCT Challenge Cup
170,Dayton
171,Nuremberg
172,Palma
173,Khartoum
174,Lagos
175,Santiago
176,Taipei
177,Ocean City
178,Oviedo
179,Helsinki
180,ATP Finals
181,Murcia
182,Zurich
183,Los Angeles PSW
184,Virginia Beach
185,Bogota
186,San Jose
187,Springfield
188,Aix en Provence
189,Laguna Niguel
190,Colombus
191,Sarasota
192,Guadalajara
193,Stuttgart Outdoor
194,Hartford
195,Aix-En-Provence
196,Stowe
197,Tulsa
