id,tourney_name
0,Roland Garros
1,Wimbledon
2,US Open
3,Australian Open
4,Gold Coast
5,Auckland
6,Sydney
7,Hobart
8,Canberra
9,Casablanca
10,Estoril
11,Madrid
12,Birmingham
13,Tokyo
14,Hyderabad
15,Antwerp
16,Doha
17,Dubai
18,Memphis
19,Bogota
20,Scottsdale
21,Acapulco
22,Indian Wells
23,Miami
24,Sarasota
25,Charleston
26,Amelia Island
27,Budapest
28,Bol
29,Warsaw
30,Berlin
31,Rome
32,Strasbourg
33,Vienna
34,'s-Hertogenbosch
35,Eastbourne
36,Palermo
37,Stanford
38,San Diego
39,Sopot
40,Los Angeles
41,Helsinki
42,Canadian Open
43,New Haven
44,Bali
45,Shanghai
46,Leipzig
47,Moscow
48,Japan Open
49,Filderstadt
50,Tashkent
51,Zurich
52,Linz
53,Luxembourg
54,Philadelphia
55,Quebec City
56,WTA Finals
57,Pattaya
58,Australia Circuit
59,Mexico Circuit
60,Fed Cup
61,Vancouver
62,Olympics
63,Stockholm
64,Cincinnati
65,Forest Hills
66,Beijing
67,Seoul
68,Hasselt
69,Guangzhou
70,Rabat
71,Prague
72,Istanbul
73,Modena
74,Kolkata
75,Portoroz
76,Bangkok
77,Stuttgart
78,Bangalore
79,Bad Gastein
80,Fes
81,Barcelona
82,Vina Del Mar
83,Brisbane International
84,Monterrey
85,Ponte Vedra Beach
86,Marbella
87,Bastad
88,Osaka
89,Tournament of Champions
90,Kuala Lumpur
91,Rome Italian Open
92,Copenhagen
93,Brussels
94,Baku
95,Citi Open
96,Mercury Insurance Open
97,Texas Tennis OpenDallas
98,Taipei
99,Pune Challenger
100,Shenzhen
101,Florianopolis
102,Katowice Open
103,Marrakech
104,Oeiras
105,Nuremberg
106,Carlsbad
107,Washington
108,Cali Challenger
109,$125K Series inK
110,Rio Open
111,Hong Kong
112,Wuhan
113,Bucharest
114,Tianjin Open
115,Aegon Open Nottingham
116,Zhuhai
117,Brisbane
118,Kaohsiung
119,St. Petersburg
120,Rio de Janeiro
121,San Antonio
122,Katowice
123,Nurnberg
124,Nottingham
125,Mallorca
126,Gstaad
127,Montreal
128,Nanchang
129,Dalian
130,Japan Open Tokyo
131,Tianjin
132,Singapore
133,Limoges
134,Honolulu
135,Biel
136,Zhengzhou
137,Calvia
138,Toronto
139,Tokyo 
140,Beijing 
141,Hua Hin
142,Mumbai
143,Newport Beach
144,Lugano
145,Anning
146,San Jose
147,Chicago
148,Hiroshima
149,Houston
