name,age,height
Serena Williams,21.661875427800002,175.0
Barbara Rittner,30.083504449,nan
Marie Gaiane Mikaelian,19.227926078,nan
Angelique Widjaja,18.4503764545,nan
Barbara Schett,27.2087611225,176.0
Akiko Morigami,23.3675564682,nan
Clarisa Fernandez,21.7412731006,179.0
Mary Pierce,28.3586584531,178.0
Meghann Shaughnessy,24.1177275838,nan
Svetlana Kuznetsova,17.9110198494,174.0
Ludmila Cervanova,23.611225188200002,nan
Els Callens,32.7638603696,nan
Sandra Kleinova,25.0485968515,nan
Sarah Taylor,21.5496235455,nan
Ai Sugiyama,27.8904859685,163.0
Virginia Ruano Pascual,29.6755646817,169.0
Daniela Hantuchova,20.090349076,181.0
Alina Jidkova,26.349075975399998,nan
Ashley Harkleroad,18.0643394935,nan
Saori Obata,25.0896646133,nan
Magui Serna,24.2354551677,nan
Maria Sharapova,16.1013004791,nan
Anna Smashnova,26.8583162218,nan
Camille Pin,21.749486653,162.0
Emilie Loit,23.961670089000002,nan
Elena Likhovtseva,27.712525667399998,nan
Fabiola Zuluaga,24.3805612594,nan
Tamarine Tanasugarn,26.0041067762,165.0
Lina Krasnoroutskaya,19.0718685832,nan
Jill Craybas,28.892539356599997,160.0
Amelie Mauresmo,23.8904859685,175.0
Virginie Razzano,20.038329910999998,173.0
Justine Henin,20.9828884326,167.0
Patricia Wartusch,24.804928131399997,nan
Jelena Kostanic Tosic,21.8863791923,168.0
Sophie Lefevre,22.250513347,nan
Stephanie Foretz Gacon,22.0616016427,166.0
Eva Birnerova,18.778918548900002,nan
Dally Randriantefy,26.250513347,nan
Alexandra Stevenson,22.4421629021,nan
Patty Schnyder,24.4462696783,168.0
Virginie Pichet,20.3230663929,nan
Stephanie Cohen Aloro,20.1889117043,175.0
Natalia Gussoni,21.7522245038,nan
Tathiana Garbin,25.9028062971,172.0
Christina Wheeler,21.1115674196,nan
Eleni Daniilidou,20.681724845999998,182.0
Nicole Pratt,30.2231348392,nan
Anastasia Myskina,21.880903490799998,174.0
Dinara Safina,17.0787132101,182.0
Petra Mandula,25.3524982888,nan
Marta Marrero,20.3559206023,nan
Flavia Pennetta,21.2457221081,172.0
Amandine Dulon,21.177275838499998,nan
Lisa Raymond,29.7905544148,165.0
Shinobu Asagoe,26.907597535900003,nan
Laura Granville,22.0369609856,175.0
Meilen Tu,25.3524982888,nan
