id,full_name
200001,Martina Hingis
200002,Mirjana Lucic
200003,Justine Henin
200004,Kerry Anne Guse
200005,Jolene Watanabe Giltz
200006,Karina Habsudova
200007,Silvija Talaja
200008,Alicia Molik
200009,Tamarine Tanasugarn
200010,Rita Grande
200011,Katarina Srebotnik
200012,Jana Nejedly
200013,Angelica Gavaldon
200014,Tzipi Obziler
200015,Petra Mandula
200016,Sandrine Testud
200017,Arantxa Sanchez Vicario
200018,Julia Abe
200019,Alexandra Fusai
200020,Lisa Raymond
200021,Alexia Dechaume Balleret
200022,Emmanuelle Gagliardi
200023,Bryanne Stewart
200024,Maria Vento Kabchi
200025,Ludmila Cervanova
200026,Florencia Labat
200027,Magui Serna
200028,Maureen Drake
200029,Lisa Mcshea
200030,Miroslava Vavrinec
200031,Meilen Tu
200032,Barbara Schett
200033,Serena Williams
200034,Amanda Grahame
200035,Maria Sanchez Lorenzo
200036,Nicole Pratt
200037,Sabine Appelmans
200038,Annabel Ellwood
200039,Chanda Rubin
200040,Anna Smashnova
200041,Amy Frazier
200042,Els Callens
200043,Virginie Razzano
200044,Denisa Chladkova
200045,Tara Snyder
200046,Meghann Shaughnessy
200047,Pavlina Nola
200048,Elena Likhovtseva
200049,Conchita Martinez
200050,Sandra Kleinova
200051,Irina Spirlea
200052,Olga Barabanschikova
200053,Lubomira Bacheva
200054,Sylvia Plischke
200055,Mariana Diaz Oliva
200056,Jelena Kostanic Tosic
200057,Erika De Lone
200058,Anna Foldenyi Dicker
200059,Ruxandra Dragomir Ilie
200060,Tathiana Garbin
200061,Gala Leon Garcia
200062,Kristina Brandi
200063,Tatiana Panova
200064,Amanda Coetzer
200065,Amelie Mauresmo
200066,Cristina Torrens Valero
200067,Patty Schnyder
200068,Lilia Osterloh
200069,Nadia Petrova
200070,Anne Gaelle Sidot
200071,Lenka Nemeckova
200072,Cara Black
200073,Julie Pullin
200074,Jane Chi
200075,Jing Qian Yi
200076,Laurence Courtois
200077,Jennifer Capriati
200078,Barbara Schwartz
200079,Kim Clijsters
200080,Dominique Monami
200081,Anke Huber
200082,Kristie Boogert
200083,Alexandra Stevenson
200084,Asa Svensson
200085,Ai Sugiyama
200086,Magdalena Maleeva
200087,Seda Noorlander
200088,Adriana Gersi
200089,Miriam Oremans
200090,Anca Barna
200091,Janet Lee
200092,Sandra Nacuk
200093,Amelie Cocheteux
200094,Barbara Rittner
200095,Linda Wild
200096,Mary Pierce
200097,Nathalie Tauziat
200098,Henrieta Nagyova
200099,Sonya Jeyaseelan
200100,Amanda Hopmans
200101,Jana Kandarr
200102,Melissa Dowse
200103,Evie Dominikovic
200104,Emilie Loit
200105,Rachel Mcquillan
200106,Angeles Montolio
200107,Paola Suarez
200108,Elena Dementieva
200109,Nathalie Dechy
200110,Fabiola Zuluaga
200111,Lina Krasnoroutskaya
200112,Julie Halard Decugis
200113,Anna Kournikova
200114,Patricia Wartusch
200115,Brie Rippner
200116,Natalia Zvereva
200117,Kveta Peschke
200118,Virginia Ruano Pascual
200119,Rita Kuti Kis
200120,Jelena Dokic
200121,Alina Jidkova
200122,Tina Pisnik
200123,Marlene Weingartner
200124,Anne Kremer
200125,Corina Morariu
200126,Marissa Gould
200127,Sarah Pitkowski Malcor
200128,Lindsay Davenport
200129,Lesley Bowrey
200130,Dorothy Whitely
200131,Judith Gohn
200132,Kay Williams
200133,Eva De Jong
200134,Kerry Ballard
200135,Lorraine Robinson
200136,Valerie Caulley
200137,L Griffiths
200138,Sandra Hole
200139,Lita Sugiarto
200140,Beryl Jenkins
200141,Wendy Gilchrist
200142,Loris Butterfield
200143,Kathleen Harter
200144,Margaret Court
200145,Kerry Harris
200146,Cynthia Doerner
200147,Geri Shepard
200148,Marilyn Tesch
200149,Helen Sheedy
200150,Evonne Cawley
200151,Ada Bakker
200152,Gail Benedetti
200153,S Washbourne
200154,S Stephen
200155,Lexie Kenny
200156,Lynette Mansfield
200157,Lynne Nette
200158,Carol Zeeman
200159,Rosie Casals
200160,Judy Dalton
200161,Janine Whyte
200162,Judith Salome
200163,Helen Oconnor
200164,Joan Johnson
200165,Lany Kaligis
200166,Patricia Edwards
200167,Heather Mckechnie
200168,Karen Krantzcke
200169,Ann Jenkins
200170,Beverley Rae
200171,Janet Young
200172,Caroline Cooper
200173,Kaye Dening
200174,Kerry Wilkinson
200175,Mary Ann Beattie
200176,Kerry Reid
200177,Alison Mckenzie
200178,Sue Hastings
200179,Barbara Hawcroft
200180,Astrid Suurbeck
200181,Margaret Starr
200182,E Staples
200183,Elena Subirats
200184,Helen Cawley
200185,Lesley Hunt
200186,Yveline Boy
200187,Janine Murdoch
200188,Helen Amos
200189,D Brennan
200190,Billie Jean King
200191,Frances Luff
200192,Helen Kayser
200193,Ann Jones
200194,Francoise Durr
200195,H Rush
200196,Kerryl Chute
200197,Pamela Brand
200198,Caroline Langsford
200199,Sally Irvine
200200,Norma Marsh
200201,Sharon Thomson
200202,Teresa Van Haren
200203,Vicki Lancaster Kerr
200204,Sandra Walsham
200205,Judy Harris
200206,L Cameron
200207,Cheryl Norquay
200208,Mandy Morgan
200209,Wendy Turnbull
